Year,Text
Immediately after the election the Labour Government will call together a
National Economic Summit to assess fully the condition of the economy
and set the recovery programme in motion - producing the jobs that need to
be done by people who need to do them in a country that wants them done.

The Summit will establish the first stage of the National Economic
Assessment. This will identify the concerted action that will need to be taken
by government, employers in the private and public sectors and trade unions
to increase investment, contain inflation and achieve sustained recovery.

We will reduce unemployment by one million in two years as the first
instalment in beating mass unemployment.

http://labourmanifesto.com/1987/1987-labour-manifesto.shtml Page 4 of 24

1987 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:27

Half a million jobs will be generated in private industry and in the public
sector by the repairing and building of the houses, the hospitals and schools,
the transport improvements and sewers that the nation needs. This will be
achieved by public investment and by reducing employers' National
Insurance contribution in targeted areas.

Another 360,000 new jobs and training places will be created. These will
provide new skills for young people and adults - with proper opportunities
for women.

A further 300,000 new jobs will improve the health and education services
and the neglected community and caring services. The depleted customs
services will be strengthened in the fight against drugs. The revenue and
benefit departments will be staffed to increase efficiency.

We will extend the voluntary Job Release Scheme to men over 60 so that
those who want to retire early vacate jobs for those who are currently
unemployed. This could take as many as 160,000 people out of
